Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0000908,Estuary Releases,chenshuangsheng,fengliang,normal,minor,always,,Distribution Issues,2017-06-29,ubuntu,16.04,Ｄ05,public,2017-06-29,apt-get upgrade failed,assigned,open,
0000902,Estuary Releases,huangjinhua,zhangyong,normal,minor,have not tried,,Applications Issues,2017-06-20,CentOS,,,public,2017-06-20,start-dfs.sh scripts miss in hadoop*.rpm (linaro repository),assigned,open,
0000891,Estuary Releases,chenshuangsheng,chenshuangsheng,normal,minor,always,,Distribution Issues,2017-06-05,CentOS/Fedora/Debian/OpenSuse/,,Ｄ05,public,2017-06-14,新用户登录文件系统后ｐｉｎｇ命令运行失败！！！,resolved,open,
0000885,Estuary Releases,zhangxinjia,fengliang,normal,minor,always,,Distribution Issues,2017-05-26,CentOS,7.3.1611,D05,public,2017-05-27,Estuary需要默认支持以下功能，以便性能测试与优化,assigned,open,
0000884,Estuary Releases,zhangxinjia,fengliang,normal,minor,always,,Distribution Issues,2017-05-26,CentOS,7.3.1611,D05,public,2017-05-26,Estuary CentOS需要默认支持所有shell,assigned,open,
0000883,Estuary Releases,zhangxinjia,fengliang,normal,minor,always,,Distribution Issues,2017-05-26,CentOS,7.3.1611,D05,public,2017-06-08,Estuary需要默认支持所有shell,closed,duplicate,
0000876,Estuary Releases,zhangxinjia,yulijie,normal,minor,have not tried,,Applications Issues,2017-05-20,CentOS,,D05,public,2017-05-20,ethtool 添加relaxorder命令参数，提升82599性能的参数；,assigned,open,
0000875,Estuary Releases,mahongxin,huangjinhua,normal,minor,have not tried,,Applications Issues,2017-05-20,,,D03,public,2017-05-24,D03平台上测试mongodb的客户端安装不成功,assigned,open,
0000868,Estuary Releases,mahongxin,hensonwang,normal,minor,sometimes,,UEFI Issues,2017-05-11,,,D03 && D05,public,2017-06-08,D03 and D05 启动过程中出现以下报错信息,closed,not a bug,
0000866,Estuary Releases,guanhe,xinliang,normal,minor,always,,All Other Issues,2017-05-08,centos,7.3.1611,D05,public,2017-05-08,qemu 挂载文件系统失败,assigned,open,
0000843,Estuary Releases,tanliqing,linwenkai,normal,minor,sometimes,,Deployment Issues,2017-04-24,,,"D03,D05",public,2017-05-04,BMC load ios方式安装系统，安装完成重启后，又进入安装界面安装系统,closed,fixed,
0000840,Estuary Releases,linwenkai,huangjinhua,normal,minor,always,,Deployment Issues,2017-04-22,cenos 7.2,,D05,public,2017-04-25,build-package.sh设置的LIBRARY_PATH多了个冒号导致GCC4.9 make失败,closed,fixed,
0000834,Estuary Releases,zhangxinjia,huangjinhua,normal,minor,always,,Applications Issues,2017-04-21,CentOS,7.3.1611,D05,public,2017-04-21,Estuary3.0自带版本perf top -g -p <pid> --no-children界面显示不友好,assigned,open,
0000833,Estuary Releases,chenshuangsheng,linwenkai,normal,minor,always,,Build Issues,2017-04-21,centos,7.2,D05,public,2017-05-09,Native build failed!,assigned,open,
0000822,Estuary Releases,linwenkai,linwenkai,normal,minor,always,,Distribution Issues,2017-04-18,CentOS,N/A,D05,public,2017-05-03,CentOS找不到/etc/fstab文件,closed,fixed,
0000821,Estuary Releases,linwenkai,linwenkai,normal,minor,always,,Distribution Issues,2017-04-18,Debian,N/A,D05,public,2017-05-03,Debian找不到/etc/sudoers文件,closed,fixed,
0000820,Estuary Releases,xinliang,xinliang,high,block,always,,Distribution Issues,2017-04-17,Debian,8.0,"D03, D05",public,2017-06-08,ifup/ifdown failed with Unknown interface ethx,closed,fixed,
0000810,Estuary Releases,zhangxinjia,xinliang,normal,minor,have not tried,,Distribution Issues,2017-04-13,CentOS,7.3.1611,D05,public,2017-05-03,微软客户支撑，25G网卡驱动安装缺少kernel-devel rpm包支持,confirmed,open,
0000808,Estuary Releases,tanliqing,ming huang,normal,minor,always,,UEFI Issues,2017-04-13,,,,public,2017-05-04,硬盘启动方式下，发行版部署在sda，但是在UEFI菜单下不能清晰定位菜单项,assigned,open,
0000807,Estuary Releases,mahongxin,xinliang,normal,minor,always,,Deployment Issues,2017-04-12,,,D03&&D05,public,2017-04-13,D03 and D05 PXE 启动方式选择VGA启动失败,closed,fixed,
0000804,Estuary Releases,mahongxin,ming huang,normal,minor,always,,Build Issues,2017-04-11,,,D03&&D05,public,2017-04-17,"D03硬盘启动时，grub配置中“set root=(hd1,gpt1)”有错误",assigned,open,
0000803,Estuary Releases,guanhe,guanhe,normal,minor,always,,All Other Issues,2017-04-10,centos,4.9.20 #1 SMP,d05,public,2017-05-03,OpenStack_Manual.md配置指代不明,resolved,fixed,
0000801,Estuary Releases,guanhe,huangjinhua,normal,minor,always,,All Other Issues,2017-04-10,ubuntu,4.9.20 #1 SMP,d03,public,2017-04-10,lamp安装文档的setup.sh不能很好执行,closed,fixed,
0000800,Estuary Releases,guanhe,yaolan,normal,minor,sometimes,,All Other Issues,2017-04-10,ubuntu,4.9.20,D05,public,2017-05-18,"lab2 ,177 178 179 号板子在改了hostname后ip丢失",closed,fixed,
0000798,Estuary Releases,belhez,belhez,normal,minor,always,,Applications Issues,2017-04-10,Centos,Sailing v1.0,D05,public,2017-04-11,can't install mysql by source code on sailing v1.0 centos system.,closed,fixed,
0000797,Estuary Releases,zhangxinjia,huangjinhua,high,major,have not tried,,Armor tools Issues,2017-04-07,CentOS & Ubuntu,Estuary3.0,D05,public,2017-04-13,【perf使用问题】添加新用户后，在新用户下，无法执行perf命令；,closed,fixed,
0000796,Estuary Releases,chenshuangsheng,xinliang,high,minor,always,,Armor tools Issues,2017-04-07,ubuntu,16.04,D05,public,2017-05-03,perf  反汇编功能挂死！！！,confirmed,open,
0000795,Estuary Releases,chenshuangsheng,chenshuangsheng,normal,minor,always,,Deployment Issues,2017-04-05,minirootfs,Version: 1.1.4,D05,public,2017-04-12,bmc load ISO failed！！,closed,fixed,
0000793,Estuary Releases,mahongxin,mahongxin,normal,minor,always,,Distribution Issues,2017-04-05,,,,public,2017-04-12,D03 PXE启动小系统后没有获取到IP,closed,fixed,
0000792,Estuary Releases,guanhe,elaine,normal,minor,have not tried,,General,2017-03-30,,,openstack  newton,public,2017-05-03,openstack website issue,confirmed,open,
0000791,Estuary Releases,mahongxin,lixian,normal,minor,have not tried,,Deployment Issues,2017-03-29,,,D03 ,public,2017-03-29,D03 BMC load iso vga方式进入到安装界面后键盘鼠标无法操作,assigned,open,
0000790,Estuary Releases,chenshuangsheng,chenshuangsheng,normal,minor,always,,Distribution Issues,2017-03-21,minirootfs,,D05,public,2017-05-03,小系统上用parted命令分区，有时候找不到设备节点。,closed,fixed,
0000788,Estuary Releases,chenshuangsheng,chenshuangsheng,normal,minor,always,,Build Issues,2017-03-16,ubuntu,14.04,PC,public,2017-04-07,uefi build failed  for hikey！,closed,fixed,
0000786,Estuary Releases,mahongxin,mahongxin,normal,minor,always,,Deployment Issues,2017-03-14,,,D03,public,2017-04-12,"D03 BMC load iso ,如果在安装的时候不选择安装任何一个发行版会报错",closed,fixed,
0000785,Estuary Releases,zhangxinjia,zhangxinjia,high,crash,sometimes,,Deployment Issues,2017-03-14,Ubuntu,,D05,public,2017-03-16,Sailing复用Estuary deploy脚本编译生成iso，部署失败,resolved,open,
0000784,Estuary Releases,chenshuangsheng,chenshuangsheng,normal,major,always,,Build Issues,2017-03-13,ubuntu,14.04,pc,public,2017-04-01,fatal: Could not chdir to '../../../LinaroPkg': No such file or directory,closed,fixed,
0000783,Estuary Releases,chenshuangsheng,chenshuangsheng,normal,minor,always,,Build Issues,2017-03-01,Centos,7.3,D03,public,2017-03-17,native build failed！,closed,fixed,
0000782,Estuary Releases,fangyuanzheng,fengliang,normal,minor,always,,Applications Issues,2017-02-27,centos,Estuary3.0rc1,Estuary D03&D05 centos,public,2017-03-03,Estuary D03&D05 centos部署之后开机打印错误信息,closed,fixed,
0000781,Estuary Releases,mahongxin,tiantao6,normal,minor,sometimes,,Deployment Issues,2017-02-27,,,D03,public,2017-05-03,D03 BMC load iso error,closed,fixed,
0000780,Estuary Releases,fangyuanzheng,tiantao6,normal,minor,always,,Deployment Issues,2017-02-27,centos,Estuary3.0,Estuary D05 (172),public,2017-03-16,Estuary D05 172设备满配镁光内存条（Micron IDT 16GB(2RX4) 36ASF2G72PZ-2G1A2），iBMC load iso失败，打印‘error: invalid magic number’信息,assigned,open,
0000774,Estuary Releases,jasonfeng,ming huang,normal,minor,always,,UEFI Issues,2017-02-22,,,,public,2017-04-18,D05上插mellanox网卡，pcie桥初始化失败，申请不到96MB IO内存,assigned,open,
0000773,Estuary Releases,chenshuangsheng,huangjinhua,normal,minor,always,,Build Issues,2017-02-21,centos,7.3,D03,public,2017-02-27,armor CentOS Native build  failed！,closed,fixed,
0000772,Estuary Releases,chenshuangsheng,huangjinhua,normal,minor,always,,Build Issues,2017-02-21,ubuntu,14.04,pc,public,2017-02-21,packages   build  failed！,closed,fixed,
0000770,Estuary Releases,fangyuanzheng,elaine,normal,minor,always,,Deployment Issues,2017-02-21,centos,Estuary 3.0rc1,Estuary D05 ,public,2017-02-21,ibmc load iso平台选择时间只有1second，应该为5~10second,closed,duplicate,
0000769,Estuary Releases,fangyuanzheng,fangyuanzheng,normal,minor,always,,Deployment Issues,2017-02-21,centos,Estuary 3.0rc1,Estuary D05 ,public,2017-03-09,ibmc load iso平台选择时间只有1second，应该为5~10second,closed,fixed,
0000768,Estuary Releases,chenshuangsheng,chenshuangsheng,normal,minor,always,,Build Issues,2017-02-20,ubuntu,14.04,PC,public,2017-03-03,uefi 和packages不支持增量式编译！！！,closed,fixed,
0000767,Estuary Releases,zhangxinjia,zhangfeng,normal,minor,have not tried,,Website Issues,2017-02-20,,,,public,2017-03-06,在lab2 build或board server上下载Estuaryv3.0-rc1版本的CentOS_ARM64.tar.gz,closed,fixed,
0000764,Estuary Releases,sanil,ming huang,normal,minor,always,,UEFI Issues,2017-02-14,,,,public,2017-05-03,[Request for update] Adding hpm format file for UEFI in the releases of D05,resolved,fixed,
0000758,Estuary Releases,zhaoshijie,zhaoshijie,normal,minor,always,,Build Issues,2017-02-09,Ubuntu,14.04,PC,public,2017-02-17,The options for mkdeploydisk.sh do not match expectations,resolved,fixed,
0000754,Estuary Releases,sanil,tianjiaoling,normal,minor,always,,Documents Issues,2017-02-06,,,,public,2017-02-17,[Request for update] Adding Release note file for every releases,closed,fixed,
0000751,Estuary Releases,zhaoshijie,shiju_jose,normal,minor,always,,Applications Issues,2017-01-23,Ubuntu,16.04,D05,public,2017-04-10,Ubuntu install app failed,closed,fixed,
0000750,Estuary Releases,guanhe,yaolan,high,minor,always,,Distribution Issues,2017-01-22,debian,8.6,overdrive,public,2017-02-14,nfs 方式启动debian系统 ，ping www.baidu.com 失败,closed,fixed,
0000745,Estuary Releases,fangyuanzheng,elaine,normal,minor,always,,Deployment Issues,2017-01-19,CentOS,v3.0rc0,Estuary D05 usb quickly deploy,public,2017-02-13,Estuary D05 USB快速部署，安装时平台选择等待时间只有1s，建议等待时间设为5~10s,closed,fixed,
0000738,Estuary Releases,mahongxin,ming huang,normal,minor,always,,UEFI Issues,2017-01-16,,,D03,public,2017-06-08,"D03 SATA disk is connected to the board, after the reboot board  entering to the UEFI menu display is SAS",closed,duplicate,
0000687,Estuary Releases,fangyuanzheng,fangyuanzheng,normal,minor,always,,Armor tools Issues,2017-01-14,Fedora,3.0rc0,Estuary D05 Fedora,public,2017-06-12,Estuary D05 Fedora armor test failed&not found,closed,fixed,
0000686,Estuary Releases,fangyuanzheng,fangyuanzheng,normal,minor,always,,Armor tools Issues,2017-01-14,opensuse,3.0rc0,Estuary 3.0rc0 D05,public,2017-06-12,Estuary D05 Opensue armor script test failed&not found,closed,fixed,
0000685,Estuary Releases,mahongxin,huangjinhua,normal,minor,always,,Applications Issues,2017-01-14,,,D03,public,2017-01-14,D03 Debian app test,assigned,open,
0000683,Estuary Releases,tiantao6,hensonwang,normal,minor,always,,UEFI Issues,2017-01-13,ubuntu,,D05,public,2017-03-27,"When the disabled core of D05 is enabled, system enters to a softlockup and hangs",resolved,open,
0000682,Estuary Releases,zhaoshijie,zhaoshijie,normal,minor,always,,Armor tools Issues,2017-01-12,Centos,7.2.1603,D05,public,2017-02-14,运行auto_test_armor_tools.sh时报错,assigned,open,
0000677,Estuary Releases,mahongxin,mahongxin,normal,minor,always,,Armor tools Issues,2017-01-11,,,D03,public,2017-06-12,D03 Debian armor test,closed,fixed,
0000675,Estuary Releases,fangyuanzheng,fangyuanzheng,normal,minor,always,,Distribution Issues,2017-01-11,OpenSuse,3.0rc0,Estuary D05 OpenSuse,public,2017-02-13,"Estuary D05 OpenSuse NFS mode,reboot 之后挂死",closed,fixed,
0000673,Estuary Releases,mahongxin,cailianchum,high,minor,always,,Deployment Issues,2017-01-10,,,D03,public,2017-01-18,D03 CD-driver loading Estuary.iso file start failure,closed,fixed,
0000672,Estuary Releases,fangyuanzheng,huangjinhua,normal,minor,always,,Deployment Issues,2017-01-10,Fedora,3.0rc0,Estuary D05 Fedora,public,2017-01-18,"Estuary D05 Fedora NFS mode,等待时间过长（20minutes），打印报错信息",closed,fixed,
0000671,Estuary Releases,chenshuangsheng,chenshuangsheng,high,minor,always,,Distribution Issues,2017-01-10,mini-rootfs,1.1.3,D03，D05,public,2017-03-03,ssh can not login ！！！,closed,fixed,
0000669,Estuary Releases,tiantao6,shiju_jose,normal,minor,always,,Armor tools Issues,2017-01-09,Centos,7.2,D05,public,2017-01-28,"when we build the code,Didn't generate enough ko in open-estuary/workspace/distro/CentOS/usr/lib/modules/4.9.0/armor",resolved,fixed,
0000667,Estuary Releases,tiantao6,tiantao6,normal,minor,always,,Build Issues,2017-01-09,Centos,7.2,D05,public,2017-01-12,system didnot run the /etc/rc.local in centos,closed,fixed,
0000655,Estuary Releases,tiantao6,shiju_jose,normal,minor,always,,Armor tools Issues,2017-01-09,centos,7.2,D05,public,2017-01-13,swapon display inaccurate information on ARM platform,closed,fixed,
0000654,Estuary Releases,tiantao6,shiju_jose,normal,minor,always,,Armor tools Issues,2017-01-09,centos,7.2,D05,public,2017-01-28,test_ktap.sh is tested failed,resolved,fixed,
0000653,Estuary Releases,tiantao6,shiju_jose,normal,minor,always,,Armor tools Issues,2017-01-09,centos,7.2,D05,public,2017-01-12,test_kprobes.sh is tested fialed,resolved,fixed,
0000652,Estuary Releases,tiantao6,tiantao6,normal,minor,always,,Armor tools Issues,2017-01-09,centos,7.2,D05,public,2017-03-27,iptables display inaccurate information on ARM platform,closed,not a bug,
0000651,Estuary Releases,tiantao6,tiantao6,normal,minor,always,,Armor tools Issues,2017-01-09,centos,7.2,D05,public,2017-01-10,ftrace display inaccurate information on ARM platform,deferred,fix later,
0000650,Estuary Releases,tiantao6,tiantao6,normal,minor,always,,Armor tools Issues,2017-01-09,centos,7.2,D05,public,2017-03-27,ethtool display inaccurate information on ARM platform,closed,not a bug,
0000649,Estuary Releases,tiantao6,tiantao6,normal,minor,always,,Armor tools Issues,2017-01-09,centos,7.2,D05,public,2017-03-27,tcpdump  display inaccurate information on ARM platform,closed,not a bug,
0000648,Estuary Releases,tianjiaoling,jasonfeng,urgent,minor,sometimes,,Kernel Issues,2017-01-09,centos,7,D05,public,2017-02-03,硬盘安装，配置网卡IP ，UP 网卡时发生CallTrace,resolved,fixed,
0000647,Estuary Releases,tiantao6,dikshit,normal,minor,always,,Armor tools Issues,2017-01-09,centos,7.2,D05,public,2017-01-10,strace display inaccurate information on ARM platform,resolved,not a bug,
0000646,Estuary Releases,tiantao6,anurup_m,normal,minor,always,,Armor tools Issues,2017-01-09,centos,7.2,d05,public,2017-02-14,perf  display inaccurate information on ARM platform,resolved,fixed,
0000644,Estuary Releases,tiantao6,tiantao6,normal,minor,always,,Armor tools Issues,2017-01-09,centos,7.2,D05,public,2017-04-10,lscpi display inaccurate information on ARM platform,closed,fixed,
0000641,Estuary Releases,tiantao6,anurup_m,normal,minor,always,,Armor tools Issues,2017-01-09,centos,7.2,D05,public,2017-02-06,lscpu  display inaccurate information on ARM platform,assigned,open,
0000640,Estuary Releases,tiantao6,ming huang,normal,minor,always,,Armor tools Issues,2017-01-09,centos,,D05,public,2017-04-11,Demicode display inaccurate information on ARM platform,assigned,open,
0000636,Estuary Releases,chenshuangsheng,fengliang,normal,minor,sometimes,,Distribution Issues,2017-01-03,CentOS,7.2.1606,D03,public,2017-01-04,make iso failed！,closed,fixed,
0000635,Estuary Releases,huangjinhua,huangjinhua,normal,minor,always,,Build Issues,2017-01-03,,,,public,2017-01-25,优化build_packages编译脚本,closed,fixed,
0000633,Estuary Releases,timmy,chenshuangsheng,normal,major,have not tried,,Applications Issues,2017-01-03,,,,public,2017-04-20,HHVM for ARM64 is not supported in Estuary v3.0-rc0-pretest1,closed,fixed,
0000632,Estuary Releases,fangyuanzheng,fangyuanzheng,normal,minor,always,,Build Issues,2017-01-03,CentOS,v3.0rc0-pretest1,Estuary D05 ,public,2017-02-13,Estuary D05 usb快速部署，安装报错，Image文件找不到,closed,fixed,
0000630,Estuary Releases,timmy,chenshuangsheng,normal,minor,always,,Distribution Issues,2016-12-29,,,,public,2016-12-29,[D03] CentOS show /usr/lib64/sa/sadc: error while loading shared libraries,resolved,open,
0000627,Estuary Releases,fangyuanzheng,ming huang,normal,minor,always,,UEFI Issues,2016-12-28,centos,v3.0rc0-pretest1,Estuary D05 centos,public,2017-04-17,Estuary D05 uefi把sata盘识别成sas盘,assigned,open,
0000626,Estuary Releases,fangyuanzheng,fangyuanzheng,normal,minor,always,,Deployment Issues,2016-12-28,centos,v3.0rc0-pretest1,Estuary D05 centos,public,2017-02-13,iso 安装部署失败后，uefi也被写入Estuary启动项,closed,fixed,
0000625,Estuary Releases,fangyuanzheng,hensonwang,normal,major,always,,UEFI Issues,2016-12-28,centos,v3.0rc0-pretest1,Estuary D05,public,2017-01-18,"Estuary D05 BMC mode  load Estuary.iso,system install failed.",closed,fixed,
0000623,Estuary Releases,fangyuanzheng,fangyuanzheng,normal,minor,always,,Armor tools Issues,2016-12-27,Ubuntu,v3.0rc0-pretest1,Estuary D05 Ubuntu,public,2017-01-16,Estuary D05 Ubuntu system boot，print wrong message,closed,fixed,
0000622,Estuary Releases,zhaoshijie,shameer,normal,minor,always,,Kernel Issues,2016-12-27,Centos,7.2.1603,D03,public,2017-01-13,kvm start failed with gic_version=default,assigned,open,
0000621,Estuary Releases,fangyuanzheng,fangyuanzheng,normal,minor,always,,Kernel Issues,2016-12-27,OpenSuse,v3.0rc0-pretest1,Estuary D05 OpenSuse,public,2017-02-13,"Estuary D05 OpenSuse system reboot,打印报错信息，等30s后系统再重启",closed,fixed,
0000620,Estuary Releases,fangyuanzheng,fangyuanzheng,normal,minor,always,,Kernel Issues,2016-12-27,Rancher,v3.0rc0-pretest1,Estuary D05 Rancher,public,2017-05-08,Estuary D05 Rancher 系统无法启动,resolved,open,
0000619,Estuary Releases,zhaoshijie,fengliang,normal,minor,always,,Distribution Issues,2016-12-26,Centos,7.2.1603,D03,public,2016-12-27,Default SSHD service startup failed,closed,not a bug,
0000618,Estuary Releases,fangyuanzheng,fangyuanzheng,normal,minor,always,,Distribution Issues,2016-12-26,Fedora,v3.0rc0-pretest1,Estuary D05 Fedora(NFS),public,2017-01-16,Estuary D05 NFS方式启动Fedora系统，下发reboot命令之后，系统打印信息，等待30s后系统重启,closed,fixed,
0000614,Estuary Releases,chenshuangsheng,fengliang,low,minor,always,,Distribution Issues,2016-12-22,ubuntu,16.04,D03,public,2017-03-03,本地编译的时候出现ld相关信息,closed,fixed,
0000613,Estuary Releases,timmy,chris,normal,minor,always,,Website Issues,2016-12-22,,,,public,2017-05-03,Change bug status deferred will show text 'deferred_bug_title' in red font,feedback,reopened,
0000612,Estuary Releases,dikshit,dikshit,high,major,always,,Distribution Issues,2016-12-21,,,,public,2016-12-22,[CALIPER-OBSERVATION] Building of EST2.3 failed,resolved,fixed,
0000611,Estuary Releases,chenshuangsheng,chenshuangsheng,high,major,always,,Armor tools Issues,2016-12-21,ubuntu,16.04,D03,public,2017-01-05,can not install package in distro if  open armor  when build!!,closed,fixed,
0000610,Estuary Releases,zhaoshijie,chenshuangsheng,normal,minor,always,,Kernel Issues,2016-12-20,Centos,7.2.1603,D03,public,2016-12-27,kvm start failed and the system hanging dead,resolved,fixed,
0000609,Estuary Releases,zhaoshijie,zhaoshijie,normal,minor,always,,Kernel Issues,2016-12-20,Centos,7.2.1603,D05,public,2016-12-24,the kernel used as guest in KVM mode can not find the tap (net-device) device.,closed,fixed,
0000607,Estuary Releases,fangyuanzheng,fangyuanzheng,normal,minor,always,,Build Issues,2016-12-19,CentOS,Estuary3.0b1,Estuary D05 CentOS,public,2016-12-28,iso部署完成后自动重启时间停留在1秒,closed,unable to duplicate,
0000601,Estuary Releases,belhez,shyju,normal,minor,always,,Caliper Issues,2016-12-05,centos,,arm64,public,2017-06-08,[kselftest] build and exec have many errors,deferred,wont fix,
0000598,Estuary Releases,belhez,shyju,normal,minor,always,,Caliper Issues,2016-11-26,ubuntu,,arm64,public,2017-06-08,[netperf] No such file or directory: '/home/hezhongyan/caliper_output/binary/x86_64',deferred,wont fix,
0000597,Estuary Releases,dikshit,tiantao6,immediate,major,always,,Distribution Issues,2016-11-25,Ubuntu,estuary 2.3,Hi1612-D03,public,2017-04-14,[CALIPER-OBSERVATION] Performance issue in estuatry 2.3 for 10G network throughput,closed,fixed,
0000596,Estuary Releases,mahongxin,chris,normal,minor,always,,Applications Issues,2016-11-24,,,D02 D03,public,2017-01-05,"nginx in this app is not related to test steps, hope someone can give guidance",closed,fixed,
0000594,Estuary Releases,fangyuanzheng,huangjinhua,normal,minor,sometimes,,Applications Issues,2016-11-23,opensuse&fedora,Estuary-v2.3,Estuary D02,public,2017-01-03,Estuary D02 applications PostgreSQL测试失败,closed,fixed,
0000593,Estuary Releases,fangyuanzheng,huangjinhua,normal,minor,always,,Applications Issues,2016-11-23,opensuse&fedora,Estuary-v2.3,Estuary D02 ,public,2017-01-03,Estuary D02 applications xen测试失败,closed,fixed,
0000592,Estuary Releases,fangyuanzheng,huangjinhua,normal,minor,always,,Applications Issues,2016-11-23,opensuse＆fedora,Estuary-v2.3,Estuary-v2.3 D02,public,2017-01-03,Estuary D02 applications odp安装报错,closed,fixed,
0000591,Estuary Releases,mahongxin,huangjinhua,normal,minor,always,,Applications Issues,2016-11-23,,,D02 D03,public,2017-01-25,"ceph in this app is not related to test steps, hope someone can give guidance",closed,wont fix,
0000590,Estuary Releases,zhaoshijie,jasonfeng,normal,minor,always,,Kernel Issues,2016-11-23,CentOS,7.2.1603,D03,public,2017-01-04,"Kernel lack of configuration items, resulting in lxc failure to start",resolved,fixed,
0000589,Estuary Releases,mahongxin,huangjinhua,normal,minor,always,,Applications Issues,2016-11-23,,,D02,public,2017-01-03,"Hadoop/HDFS in this app is not related to test steps, hope someone can give guidance",closed,fixed,
0000588,Estuary Releases,fangyuanzheng,hensonwang,normal,minor,always,,Kernel Issues,2016-11-21,HiKey,Estuary-v2.3,Estuary HiKey,public,2017-04-17,Estuary HiKey启动挂死，进不去grub.cfg,closed,fixed,
0000587,Estuary Releases,tianjiaoling,chenshuangsheng,normal,minor,always,,Armor tools Issues,2016-11-21,"Centos,ubuntu","7,15.04",pc,public,2016-12-27,"Perf is installed on Centos and Ubuntu,  but it does not provide certain information",resolved,fixed,
0000586,Estuary Releases,tianjiaoling,tianjiaoling,normal,minor,always,,Website Issues,2016-11-21,ubuntu,14.04,pc,public,2016-12-07,The repo utility is outdated,closed,fixed,
0000585,Estuary Releases,pinkesh,sanil,immediate,block,always,,Website Issues,2016-11-18,,,,public,2017-01-09,I am not able to download Estuary 2.3 Ubuntu rootfs form the open-estuary website.,resolved,fixed,
0000584,Estuary Releases,chenshuangsheng,chenshuangsheng,high,major,always,,Build Issues,2016-11-16,Ubuntu,14.04,PC,public,2017-01-05,"U盘快速部署选择启动方式为dts安装,却是acpi方式启动",closed,fixed,
0000583,Estuary Releases,chenzhihui,chenzhihui,normal,minor,always,,Applications Issues,2016-11-16,CentOS,CentOS7.2.1606,D05,public,2016-12-24,[D05 - Ali] 阿里在做D05与D03下Openblas对比测试，发现10core的场景性能比较差，效率与D03相比掉了一半,resolved,fixed,
0000580,Estuary Releases,chenshuangsheng,chenshuangsheng,normal,minor,always,,Deployment Issues,2016-11-11,Ubuntu,15.04,D03,public,2017-03-03,"BMC load ISO只能自动load一次,之后需要手动选择菜单",closed,not a bug,
0000579,Estuary Releases,fangyuanzheng,fangyuanzheng,normal,minor,always,,Distribution Issues,2016-11-10,Debian,Estuary-v2.3,Estuary D02 Debian,public,2017-01-03,Estuary D02 nfs启动Debian挂死,closed,fixed,
0000578,Estuary Releases,fangyuanzheng,chenshuangsheng,normal,minor,always,,Kernel Issues,2016-11-10,Ubuntu,Estuary-v2.3,Estuary D02 ,public,2016-12-20,"Estuary D02 系统起来后，下发poweroff,shutdown -h now,init 0命令，系统重启，正常的应该是处于下电状态。",closed,fixed,
0000577,Estuary Releases,zhaoshijie,hensonwang,normal,minor,always,,UEFI Issues,2016-11-08,Ubuntu,15.04,D03,public,2016-11-14,使用build.sh编译出的uefi，通过bmc安装iso失败,resolved,unable to duplicate,
0000576,Estuary Releases,chenzhihui,chenzhihui,high,major,always,,Kernel Issues,2016-11-07,CentOS,CentOS7.2.1606,D05,public,2016-12-24,[D05 - Ali] 在170号D05（16Gx16 256G三星DDR2133）上跑MySQL 100个实例测试时，系统会挂住,resolved,fixed,
0000575,Estuary Releases,chenzhihui,chenzhihui,normal,minor,sometimes,,Distribution Issues,2016-11-07,CentOS,CentOS7.2.1606,D05,public,2016-12-24,"[D05 - Ali] 在深圳阿里做D05测试时,发现stream带宽测试中64核的性能不理想",resolved,fixed,
